Title,Description,Preconditions,Test Step #,Test Step Action,Test Step Expected Result,Test Type,Design Technique,API Path,HTTP Method,Priority,Created Date
"Negative case: orderId as string (GET /store/order/{orderId}, Error Guessing)",Проверка получения ошибки при запросе с orderId как строка ('abc').,Нет необходимых условий.,1,Отправить GET запрос на /store/order/abc,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,Error Guessing,/store/order/abc,GET,High,2025-11-16T16:04:54.038792
"Negative case: orderId as float (GET /store/order/{orderId}, Error Guessing)",Проверка получения ошибки при запросе с orderId как дробное число (5.5).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/5.5,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,Error Guessing,/store/order/5.5,GET,High,2025-11-16T16:04:54.038799
"Negative case: orderId as negative float (GET /store/order/{orderId}, Error Guessing)",Проверка получения ошибки при запросе с orderId как отрицательное дробное число (-0.5).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/-0.5,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,Error Guessing,/store/order/-0.5,GET,High,2025-11-16T16:04:54.038805
"Negative case: orderId as very large number (GET /store/order/{orderId}, Error Guessing)",Проверка получения ошибки при запросе с orderId как очень большое число (9999999999).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/9999999999,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,Error Guessing,/store/order/9999999999,GET,High,2025-11-16T16:04:54.038812
"Negative case: orderId not found (GET /store/order/{orderId}, EP)","Проверка получения ошибки при запросе с orderId (3), если заказа с таким ID не существует.",Заказ с ID 3 не существует.,1,Отправить GET запрос на /store/order/3,"Код ответа 404, сообщение 'Order not found'.",Negative,EP,/store/order/3,GET,High,2025-11-16T16:04:54.038818
"Negative case: request without orderId (GET /store/order/{orderId}, Error Guessing)",Проверка получения ошибки при запросе без orderId.,Нет необходимых условий.,1,Отправить GET запрос на /store/order/,"Код ответа 404, сообщение 'Order not found'.",Negative,Error Guessing,/store/order/,GET,High,2025-11-16T16:04:54.038826
"Negative case: request with invalid token (GET /store/order/{orderId}, Authorization)",Проверка получения ошибки при запросе с невалидным токеном.,Отсутствие валидного токена.,1,Отправить GET запрос на /store/order/1 с невалидным токеном.,"Код ответа 401, сообщение 'Unauthorized'.",Negative,Error Guessing,/store/order/1,GET,High,2025-11-16T16:04:54.038833
"Negative case: request with expired token (GET /store/order/{orderId}, Authorization)",Проверка получения ошибки при запросе с просроченным токеном.,Токен просрочен.,1,Отправить GET запрос на /store/order/1 с просроченным токеном.,"Код ответа 401, сообщение 'Unauthorized'.",Negative,Error Guessing,/store/order/1,GET,High,2025-11-16T16:04:54.038841
"Negative case: request without token (GET /store/order/{orderId}, Authorization)",Проверка получения ошибки при запросе без токена.,Нет необходимых условий.,1,Отправить GET запрос на /store/order/1 без токена.,"Код ответа 401, сообщение 'Unauthorized'.",Negative,Error Guessing,/store/order/1,GET,High,2025-11-16T16:04:54.038847
"Negative case: request with token lacking permissions (GET /store/order/{orderId}, Authorization)",Проверка получения ошибки при запросе с токеном без необходимых прав.,Токен не имеет прав на чтение заказов.,1,Отправить GET запрос на /store/order/1 с токеном без необходимых прав.,"Код ответа 403, сообщение 'Forbidden'.",Negative,Error Guessing,/store/order/1,GET,High,2025-11-16T16:04:54.038854
"Negative case: request to non-existing orderId (GET /store/order/{orderId}, EP)",Проверка получения ошибки при запросе к несуществующему orderId (99).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/99,"Код ответа 404, сообщение 'Order not found'.",Negative,EP,/store/order/99,GET,High,2025-11-16T16:04:54.038861
Positive case - valid petId (existing pet),Get a pet by valid petId that exists in the store.,A pet with ID 1 exists.,1,Send GET request to /pet/1,Response code 200 and a valid pet object in response.,Positive,EP,/pet/1,GET,High,2025-11-16T16:04:58.190464
Negative case - invalid petId (non-integer),Attempt to get a pet by an invalid petId that is not an integer.,No specific preconditions.,1,Send GET request to /pet/abc,Response code 400 for invalid ID supplied.,Negative,EP,/pet/abc,GET,High,2025-11-16T16:04:58.190520
Negative case - invalid petId (negative number),Attempt to get a pet by a negative petId.,No specific preconditions.,1,Send GET request to /pet/-1,Response code 400 for invalid ID supplied.,Negative,BVA,/pet/-1,GET,High,2025-11-16T16:04:58.190527
Negative case - invalid petId (zero),Attempt to get a pet by petId of zero.,No specific preconditions.,1,Send GET request to /pet/0,Response code 400 for invalid ID supplied.,Negative,BVA,/pet/0,GET,High,2025-11-16T16:04:58.190533
Negative case - invalid petId (min-1),Attempt to get a pet by an invalid petId one less than the minimum valid ID.,No specific preconditions.,1,Send GET request to /pet/-2,Response code 400 for invalid ID supplied.,Negative,BVA,/pet/-2,GET,High,2025-11-16T16:04:58.190554
Negative case - invalid petId (too large),Attempt to get a pet by an excessively large petId.,No specific preconditions.,1,Send GET request to /pet/99999999999999,Response code 400 for invalid ID supplied.,Negative,BVA,/pet/99999999999999,GET,High,2025-11-16T16:04:58.190562
Negative case - missing petId,Attempt to get a pet without providing petId in the path.,No specific preconditions.,1,Send GET request to /pet/,Response code 404 for resource not found.,Negative,EP,/pet/,GET,High,2025-11-16T16:04:58.190570
Negative case - unauthorized request without API key,Attempt to get a pet without providing the API key.,No specific preconditions.,1,Send GET request to /pet/1 without API key,Response code 401 for unauthorized access.,Negative,Error Guessing,/pet/1,GET,High,2025-11-16T16:04:58.190576
Negative case - request with invalid API key,Attempt to get a pet with an invalid API key.,No specific preconditions.,1,Send GET request to /pet/1 with invalid API key,Response code 401 for unauthorized access.,Negative,Error Guessing,/pet/1,GET,High,2025-11-16T16:04:58.190583
Negative case - request with expired API key,Attempt to get a pet with an expired API key.,No specific preconditions.,1,Send GET request to /pet/1 with expired API key,Response code 401 for unauthorized access.,Negative,Error Guessing,/pet/1,GET,High,2025-11-16T16:04:58.190590
Negative case - pet not found (valid but non-existing petId),Attempt to get a pet by a valid petId that does not exist.,A pet with ID 999 does not exist.,1,Send GET request to /pet/999,Response code 404 for pet not found.,Negative,EP,/pet/999,GET,High,2025-11-16T16:04:58.190595
Positive case - valid petId (boundary value),Get a pet by the minimum valid petId that exists.,A pet with ID 1 exists.,1,Send GET request to /pet/1,Response code 200 and a valid pet object in response.,Positive,BVA,/pet/1,GET,High,2025-11-16T16:04:58.190600
Positive case - valid petId (maximum value),Get a pet by a maximum valid petId that exists.,A pet with ID 2147483647 exists (if applicable).,1,Send GET request to /pet/2147483647,Response code 200 and a valid pet object in response.,Positive,BVA,/pet/2147483647,GET,High,2025-11-16T16:04:58.190605
Negative case - request to non-existing endpoint,Attempt to get a pet by providing an invalid endpoint.,No specific preconditions.,1,Send GET request to /pet/nonexistent,Response code 404 for resource not found.,Negative,Error Guessing,/pet/nonexistent,GET,High,2025-11-16T16:04:58.190612
Negative case - request with SQL injection,Attempt to get a pet by injecting SQL code.,No specific preconditions.,1,Send GET request to /pet/1 OR 1=1,Response code 400 for invalid ID supplied.,Negative,Error Guessing,/pet/1 OR 1=1,GET,High,2025-11-16T16:04:58.190618
Negative case - request with XSS injection,Attempt to get a pet by injecting XSS code.,No specific preconditions.,1,Send GET request to /pet/<script>alert('XSS')</script>,Response code 400 for invalid ID supplied.,Negative,Error Guessing,/pet/<script>alert('XSS')</script>,GET,High,2025-11-16T16:04:58.190624
Negative case - request with command injection,Attempt to get a pet by injecting command line code.,No specific preconditions.,1,Send GET request to /pet/; rm -rf /,Response code 400 for invalid ID supplied.,Negative,Error Guessing,/pet/; rm -rf /,GET,High,2025-11-16T16:04:58.190630
Negative case - request with path traversal,Attempt to get a pet by using path traversal characters.,No specific preconditions.,1,Send GET request to /pet/../../../etc/passwd,Response code 400 for invalid ID supplied.,Negative,Error Guessing,/pet/../../../etc/passwd,GET,High,2025-11-16T16:04:58.190635
Negative case - request with null petId,Attempt to get a pet by providing a null value for petId.,No specific preconditions.,1,Send GET request to /pet/null,Response code 400 for invalid ID supplied.,Negative,EP,/pet/null,GET,High,2025-11-16T16:04:58.190639
Negative case - request with invalid type for petId,Attempt to get a pet by providing an invalid type (string) for petId.,No specific preconditions.,1,Send GET request to /pet/string,Response code 400 for invalid ID supplied.,Negative,EP,/pet/string,GET,High,2025-11-16T16:04:58.190644
Позитивный тест: Получение питомцев с валидным тегом (EP),Отправить запрос с валидным тегом для получения питомцев.,Существует хотя бы один питомец с тегом 'dog'.,1,Отправить GET запрос на /pet/findByTags с параметром tags=dog,"Код ответа 200 и список питомцев, содержащих тег 'dog'.",Positive,EP,/pet/findByTags,GET,High,2025-11-16T16:04:59.802610
Позитивный тест: Получение питомцев с несколькими валидными тегами (EP),Отправить запрос с несколькими валидными тегами для получения питомцев.,Существует хотя бы один питомец с тегами 'dog' и 'cute'.,1,"Отправить GET запрос на /pet/findByTags с параметром tags=dog,cute","Код ответа 200 и список питомцев, содержащих теги 'dog' и 'cute'.",Positive,EP,/pet/findByTags,GET,High,2025-11-16T16:04:59.802675
Позитивный тест: Получение питомцев с пустым тегом (EP),Отправить запрос с пустым тегом.,Существует хотя бы один питомец.,1,Отправить GET запрос на /pet/findByTags с параметром tags=,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Positive,EP,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802718
Негативный тест: Отсутствие обязательного параметра (EP),Попытка отправить запрос без параметра tags.,Отсутствие обязательного параметра.,1,Отправить GET запрос на /pet/findByTags без параметра tags.,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,EP,/pet/findByTags,GET,High,2025-11-16T16:04:59.802731
Негативный тест: Невалидный тег (Error Guessing),Отправить запрос с невалидным тегом.,Нет питомцев с тегом 'invalidTag'.,1,Отправить GET запрос на /pet/findByTags с параметром tags=invalidTag,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802741
Негативный тест: SQL Injection в тегах (Error Guessing),Отправить запрос с SQL Injection в тегах.,Необходимо проверить уязвимость к SQL Injection.,1,Отправить GET запрос на /pet/findByTags с параметром tags=' OR '1'='1,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802750
Негативный тест: XSS в тегах (Error Guessing),Отправить запрос с XSS в тегах.,Необходимо проверить уязвимость к XSS.,1,Отправить GET запрос на /pet/findByTags с параметром tags=<script>alert('XSS')</script>,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802757
Негативный тест: Параметр tags содержит пустую строку (BVA),Отправить запрос с пустой строкой в параметре тегов.,Существует хотя бы один питомец.,1,"Отправить GET запрос на /pet/findByTags с параметром tags=""""",Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,BVA,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802764
Негативный тест: Неверный формат (Error Guessing),Отправить запрос с неверным форматом тегов.,Необходимо проверить формат тегов.,1,Отправить GET запрос на /pet/findByTags с параметром tags=tag1&tag2,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802771
Позитивный тест: Получение питомцев с тегами в верхнем регистре (EP),Отправить запрос с тегами в верхнем регистре.,Существует хотя бы один питомец с тегом 'DOG'.,1,Отправить GET запрос на /pet/findByTags с параметром tags=DOG,"Код ответа 200 и список питомцев, содержащих тег 'DOG'.",Positive,EP,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802778
Негативный тест: Отсутствие авторизации (Error Guessing),Попытка отправить запрос без токена авторизации.,Необходимо проверить авторизацию.,1,Отправить GET запрос на /pet/findByTags без токена.,Код ответа 401 и сообщение об ошибке 'Unauthorized'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802787
Негативный тест: Невалидный токен (Error Guessing),Попытка отправить запрос с невалидным токеном.,Необходимо проверить авторизацию.,1,Отправить GET запрос на /pet/findByTags с невалидным токеном.,Код ответа 401 и сообщение об ошибке 'Unauthorized'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802794
Негативный тест: Просроченный токен (Error Guessing),Попытка отправить запрос с просроченным токеном.,Необходимо проверить авторизацию.,1,Отправить GET запрос на /pet/findByTags с просроченным токеном.,Код ответа 401 и сообщение об ошибке 'Unauthorized'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802801
Негативный тест: Токен без нужных прав (Error Guessing),Попытка отправить запрос с токеном без нужных прав.,Необходимо проверить авторизацию.,1,"Отправить GET запрос на /pet/findByTags с токеном, у которого нет scopes для 'read:pets'.",Код ответа 403 и сообщение об ошибке 'Forbidden'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802808
Негативный тест: Параметр тегов с слишком длинной строкой (BVA),"Отправить запрос с тегом, длина строки которого превышает максимально допустимую.",Существует хотя бы один питомец.,1,Отправить GET запрос на /pet/findByTags с tags=тег_с_очень_долгим_именем_больше_допустимого_значения,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,BVA,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802815
Негативный тест: Параметр тегов с unicode символами (Error Guessing),"Отправить запрос с тегом, содержащим unicode символы.",Необходимо проверить обработку unicode символов.,1,Отправить GET запрос на /pet/findByTags с параметром tags=тег_с_unicode_символами_😀,Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802821
Негативный тест: Параметр тегов с неправильно разделёнными значениями (Error Guessing),"Отправить запрос с тегами, неправильно разделёнными запятыми.",Необходимо проверить формат тегов.,1,"Отправить GET запрос на /pet/findByTags с параметром tags=tag1,,tag2",Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802827
"Позитивный тест: Получение питомцев с тегами, содержащими специальные символы (EP)","Отправить запрос с тегами, содержащими специальные символы.",Существует хотя бы один питомец с тегом 'cute&lovely'.,1,Отправить GET запрос на /pet/findByTags с параметром tags=cute&lovely,"Код ответа 200 и список питомцев, содержащих теги 'cute' и 'lovely'.",Positive,EP,/pet/findByTags,GET,Medium,2025-11-16T16:04:59.802834
Негативный тест: Переполнение входных данных (Error Guessing),Попытка отправить слишком большое количество тегов.,Необходимо проверить ограничения на количество тегов.,1,"Отправить GET запрос на /pet/findByTags с параметром tags=tag1,tag2,...,tagN (где N > допустимого лимита)",Код ответа 400 и сообщение об ошибке 'Invalid tag value'.,Negative,Error Guessing,/pet/findByTags,GET,High,2025-11-16T16:04:59.802841
Positive Case - Valid Order,Place an order with all valid parameters.,None,1,"Send POST request with valid body parameters: { 'id': 1, 'petId': 1, 'quantity': 2, 'shipDate': '2023-10-01T10:00:00Z', 'status': 'placed', 'complete': true }",Response code 200 with valid order details.,Positive,EP,/store/order,POST,High,2025-11-16T16:05:01.929127
Positive Case - Minimum Required Fields,Place an order with minimum required fields.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1 }",Response code 200 with valid order details.,Positive,EP,/store/order,POST,High,2025-11-16T16:05:01.929163
Positive Case - Valid Status Values,Test each valid status value.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': 'placed' }",Response code 200 with valid order details.,Positive,EP,/store/order,POST,Medium,2025-11-16T16:05:01.929172
,,,2,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': 'approved' }",Response code 200 with valid order details.,Positive,EP,/store/order,POST,Medium,
,,,3,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': 'delivered' }",Response code 200 with valid order details.,Positive,EP,/store/order,POST,Medium,
Positive Case - Boundary Values for Quantity,Test boundary values for quantity parameter.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 0 }",Response code 200 with valid order details.,Positive,BVA,/store/order,POST,Medium,2025-11-16T16:05:01.929179
,,,2,"Send POST request with body: { 'petId': 1, 'quantity': 1 }",Response code 200 with valid order details.,Positive,BVA,/store/order,POST,Medium,
,,,3,"Send POST request with body: { 'petId': 1, 'quantity': 2147483647 }",Response code 200 with valid order details.,Positive,BVA,/store/order,POST,Medium,
Negative Case - Missing Required Field (petId),Test missing required field petId.,None,1,Send POST request with body: { 'quantity': 1 },Response code 400 with error message 'Invalid Order'.,Negative,EP,/store/order,POST,High,2025-11-16T16:05:01.929185
Negative Case - Invalid Quantity (negative value),Test with negative quantity value.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': -1 }",Response code 400 with error message 'Invalid Order'.,Negative,EP,/store/order,POST,High,2025-11-16T16:05:01.929192
Negative Case - Invalid Quantity (zero),Test with quantity as zero.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 0 }",Response code 400 with error message 'Invalid Order'.,Negative,EP,/store/order,POST,High,2025-11-16T16:05:01.929197
Negative Case - Quantity (very large number),Test with quantity as a very large number.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 2147483648 }",Response code 400 with error message 'Invalid Order'.,Negative,BVA,/store/order,POST,High,2025-11-16T16:05:01.929203
Negative Case - Invalid Type (string instead of integer for quantity),Test with string value for quantity.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 'two' }",Response code 400 with error message 'Invalid Order'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929209
Negative Case - Invalid shipDate format,Test with invalid shipDate format.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'shipDate': '2023-10-01' }",Response code 400 with error message 'Invalid Order'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929217
Negative Case - Missing shipDate,Test missing shipDate in request.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1 }",Response code 400 with error message 'Invalid Order'.,Negative,EP,/store/order,POST,High,2025-11-16T16:05:01.929224
Negative Case - Invalid Status (not in enum),Test with invalid status value.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': 'invalid_status' }",Response code 400 with error message 'Invalid Order'.,Negative,EP,/store/order,POST,High,2025-11-16T16:05:01.929230
Negative Case - Null Status,Test with null status value.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': null }",Response code 400 with error message 'Invalid Order'.,Negative,EP,/store/order,POST,High,2025-11-16T16:05:01.929236
Negative Case - Missing Complete field,Test missing complete field in request.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': 'placed' }",Response code 200 with valid order details.,Negative,EP,/store/order,POST,Medium,2025-11-16T16:05:01.929242
Negative Case - Invalid Complete type,Test with string value for complete.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'complete': 'yes' }",Response code 400 with error message 'Invalid Order'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929248
Negative Case - Send request without token,Test request without authorization token.,None,1,Send POST request without 'api_key' in header.,Response code 401 with error message 'Unauthorized'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929254
Negative Case - Send request with invalid token,Test request with invalid authorization token.,None,1,Send POST request with invalid 'api_key' in header.,Response code 401 with error message 'Unauthorized'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929260
Negative Case - Send request with expired token,Test request with expired authorization token.,None,1,Send POST request with expired 'api_key' in header.,Response code 401 with error message 'Unauthorized'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929266
Negative Case - Send request with token without required permission,Test request with authorization token that does not have required permissions.,None,1,Send POST request with valid 'api_key' in header without 'write:pets' permission.,Response code 403 with error message 'Forbidden'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929273
Negative Case - Invalid JSON body,Test with invalid JSON format in request body.,None,1,"Send POST request with body: { 'petId': 1, 'quantity': 1, 'status': 'placed', 'complete': 'yes' }",Response code 400 with error message 'Invalid Order'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929279
Negative Case - Non-existent resource operation,Attempt to perform operation on a non-existent resource.,None,1,"Send POST request with body: { 'petId': 9999, 'quantity': 1, 'status': 'placed' }",Response code 404 with error message 'Order not found'.,Negative,Error Guessing,/store/order,POST,High,2025-11-16T16:05:01.929285
Positive case for deleting user with valid username,Ensure that the user is successfully deleted with a valid username.,User with username 'validUser' exists and is logged in.,1,Send DELETE request to /user/validUser,Response code 200 (OK) and user deleted successfully.,Positive,EP,/user/validUser,DELETE,High,2025-11-16T16:05:04.102828
Negative case for deleting user with invalid username (empty string),Ensure that an error is returned when trying to delete a user with an empty username.,User is logged in.,1,Send DELETE request to /user/,Response code 400 (Invalid username supplied).,Negative,EP,/user/,DELETE,High,2025-11-16T16:05:04.102868
Negative case for deleting user with invalid username (special characters),Ensure that an error is returned when trying to delete a user with special characters in the username.,User is logged in.,1,Send DELETE request to /user/!@#$%^&*(),Response code 400 (Invalid username supplied).,Negative,EP,/user/!@#$%^&*(),DELETE,High,2025-11-16T16:05:04.102890
Negative case for deleting user with username too long,Ensure that an error is returned when trying to delete a user with a username exceeding the maximum length.,User is logged in.,1,Send DELETE request to /user/thisIsAVeryLongUsernameThatExceedsMaxLength,Response code 400 (Invalid username supplied).,Negative,BVA,/user/thisIsAVeryLongUsernameThatExceedsMaxLength,DELETE,High,2025-11-16T16:05:04.102896
Negative case for deleting non-existing user,Ensure that an error is returned when trying to delete a user that does not exist.,User is logged in.,1,Send DELETE request to /user/nonExistingUser,Response code 404 (User not found).,Negative,EP,/user/nonExistingUser,DELETE,High,2025-11-16T16:05:04.102903
Negative case for deleting user without authorization,Ensure that an error is returned when trying to delete a user without providing an API key.,User with username 'validUser' exists.,1,Send DELETE request to /user/validUser without API key,Response code 401 (Unauthorized).,Negative,Error Guessing,/user/validUser,DELETE,High,2025-11-16T16:05:04.102909
Negative case for deleting user with expired token,Ensure that an error is returned when trying to delete a user with an expired token.,User with username 'validUser' exists and has an expired token.,1,Send DELETE request to /user/validUser with expired token,Response code 401 (Unauthorized).,Negative,Error Guessing,/user/validUser,DELETE,High,2025-11-16T16:05:04.102916
Negative case for deleting user with invalid token,Ensure that an error is returned when trying to delete a user with an invalid token.,User with username 'validUser' exists.,1,Send DELETE request to /user/validUser with invalid token,Response code 401 (Unauthorized).,Negative,Error Guessing,/user/validUser,DELETE,High,2025-11-16T16:05:04.102922
Negative case for deleting user with missing username parameter,Ensure that an error is returned when trying to delete a user without providing a username parameter.,User is logged in.,1,Send DELETE request to /user/,Response code 400 (Invalid username supplied).,Negative,EP,/user/,DELETE,High,2025-11-16T16:05:04.102928
Positive case for deleting user with minimum valid username,Ensure that the user is successfully deleted with the minimum valid username.,User with username 'a' exists and is logged in.,1,Send DELETE request to /user/a,Response code 200 (OK) and user deleted successfully.,Positive,BVA,/user/a,DELETE,High,2025-11-16T16:05:04.102935
Positive case for deleting user with maximum valid username,Ensure that the user is successfully deleted with the maximum valid username.,User with username 'thisIsASuperLongUsernameThatIsValid' exists and is logged in.,1,Send DELETE request to /user/thisIsASuperLongUsernameThatIsValid,Response code 200 (OK) and user deleted successfully.,Positive,BVA,/user/thisIsASuperLongUsernameThatIsValid,DELETE,High,2025-11-16T16:05:04.102942
Negative case for deleting user with username including spaces,Ensure that an error is returned when trying to delete a user with a username that includes spaces.,User is logged in.,1,Send DELETE request to /user/invalid username,Response code 400 (Invalid username supplied).,Negative,EP,/user/invalid username,DELETE,High,2025-11-16T16:05:04.102949
Negative case for deleting user with username containing unicode characters,Ensure that an error is returned when trying to delete a user with a username containing unicode characters.,User is logged in.,1,Send DELETE request to /user/validUser😊,Response code 400 (Invalid username supplied).,Negative,EP,/user/validUser😊,DELETE,High,2025-11-16T16:05:04.102955
Negative case for deleting user with username that is a number,Ensure that an error is returned when trying to delete a user with a username that is purely numeric.,User is logged in.,1,Send DELETE request to /user/12345,Response code 400 (Invalid username supplied).,Negative,EP,/user/12345,DELETE,High,2025-11-16T16:05:04.102963
Negative case for deleting user with username that is a special string,Ensure that an error is returned when trying to delete a user with a username that is a special string.,User is logged in.,1,Send DELETE request to /user/username_with_!@#,Response code 400 (Invalid username supplied).,Negative,EP,/user/username_with_!@#,DELETE,High,2025-11-16T16:05:04.102969
Negative case for deleting user with username that is a SQL injection attempt,Ensure that an error is returned when trying to delete a user with a SQL injection attempt.,User is logged in.,1,Send DELETE request to /user/' OR '1'='1,Response code 400 (Invalid username supplied).,Negative,Error Guessing,/user/' OR '1'='1,DELETE,High,2025-11-16T16:05:04.102976
Negative case for deleting user with username that is an XSS attempt,Ensure that an error is returned when trying to delete a user with an XSS attempt.,User is logged in.,1,Send DELETE request to /user/<script>alert('XSS')</script>,Response code 400 (Invalid username supplied).,Negative,Error Guessing,/user/<script>alert('XSS')</script>,DELETE,High,2025-11-16T16:05:04.102986
Negative case for deleting user with username that is a command injection attempt,Ensure that an error is returned when trying to delete a user with a command injection attempt.,User is logged in.,1,Send DELETE request to /user/; rm -rf /,Response code 400 (Invalid username supplied).,Negative,Error Guessing,/user/; rm -rf /,DELETE,High,2025-11-16T16:05:04.102992
Negative case for deleting user with username that is a path traversal attack,Ensure that an error is returned when trying to delete a user with a path traversal attempt.,User is logged in.,1,Send DELETE request to /user/../../../etc/passwd,Response code 400 (Invalid username supplied).,Negative,Error Guessing,/user/../../../etc/passwd,DELETE,High,2025-11-16T16:05:04.103008
Negative case for deleting user with username containing multiple spaces,Ensure that an error is returned when trying to delete a user with a username containing multiple spaces.,User is logged in.,1,Send DELETE request to /user/invalid  username,Response code 400 (Invalid username supplied).,Negative,EP,/user/invalid  username,DELETE,High,2025-11-16T16:05:04.103015
Negative case for deleting user with username that is a very long string,Ensure that an error is returned when trying to delete a user with a username that is unreasonably long.,User is logged in.,1,Send DELETE request to /user/thisIsAVeryVeryLongUsernameThatIsNotValid,Response code 400 (Invalid username supplied).,Negative,BVA,/user/,DELETE,High,2025-11-16T16:05:04.103021
Negative case for deleting user with a username that is an empty string after trimming,Ensure that an error is returned when trying to delete a user with a username that becomes empty after trimming.,User is logged in.,1,Send DELETE request to /user/   ,Response code 400 (Invalid username supplied).,Negative,EP,/user/   ,DELETE,High,2025-11-16T16:05:04.103026
Positive case - valid username and password (EP),Verify successful login with valid username and password.,User must be registered with the username 'validUser' and password 'validPassword'.,1,Send GET request to /user/login with parameters username=validUser&password=validPassword,Response code 200 and a valid token in response body.,Positive,EP,/user/login,GET,High,2025-11-16T16:05:10.936461
Negative case - missing username (EP),Verify error response when username is missing.,None.,1,Send GET request to /user/login with parameters password=validPassword,Response code 400 and error message indicating missing username.,Negative,EP,/user/login,GET,High,2025-11-16T16:05:10.936517
Negative case - missing password (EP),Verify error response when password is missing.,None.,1,Send GET request to /user/login with parameters username=validUser,Response code 400 and error message indicating missing password.,Negative,EP,/user/login,GET,High,2025-11-16T16:05:10.936533
Negative case - empty username (BVA),Verify error response when username is an empty string.,None.,1,Send GET request to /user/login with parameters username=''&password=validPassword,Response code 400 and error message indicating invalid username.,Negative,BVA,/user/login,GET,High,2025-11-16T16:05:10.936545
Negative case - empty password (BVA),Verify error response when password is an empty string.,None.,1,Send GET request to /user/login with parameters username=validUser&password='',Response code 400 and error message indicating invalid password.,Negative,BVA,/user/login,GET,High,2025-11-16T16:05:10.936551
Negative case - username too short (BVA),Verify error response when username is less than minimum length.,None.,1,Send GET request to /user/login with parameters username='u'&password=validPassword,Response code 400 and error message indicating invalid username.,Negative,BVA,/user/login,GET,High,2025-11-16T16:05:10.936556
Negative case - password too short (BVA),Verify error response when password is less than minimum length.,None.,1,Send GET request to /user/login with parameters username=validUser&password='p',Response code 400 and error message indicating invalid password.,Negative,BVA,/user/login,GET,High,2025-11-16T16:05:10.936562
